,lat,long,Diplomatic_In_Degree,Diplomatic_Out_Degree,Diplomatic_Degree,Diplomatic_Betweenness,Diplomatic_Closeness,Diplomatic_Eigenvector,Diplomatic_PageRank,Diplomatic_Clustering,Diplomatic_Community,Trade_In_Degree,Trade_Out_Degree,Trade_Degree,Trade_Betweenness,Trade_Closeness,Trade_Eigenvector,Trade_PageRank,Trade_Clustering,Trade_Community,Combined_In_Degree,Combined_Out_Degree,Combined_Degree,Combined_Betweenness,Combined_Closeness,Combined_Eigenvector,Combined_PageRank,Combined_Clustering,Combined_Community
lat,1.0,-0.408,-0.006,0.031,-0.006,0.051,-0.027,-0.02,-0.035,-0.201,-0.063,-0.006,0.031,-0.006,-0.047,-0.075,-0.037,-0.093,,-0.164,-0.017,0.084,-0.001,0.041,-0.114,-0.141,-0.086,0.021,0.081
long,-0.408,1.0,-0.037,0.095,-0.03,0.008,-0.002,-0.004,0.002,0.09,-0.048,-0.037,0.095,-0.03,0.062,-0.023,-0.092,-0.02,,0.151,-0.047,0.054,-0.037,0.027,0.028,-0.012,-0.006,-0.063,-0.11
Diplomatic_In_Degree,-0.006,-0.037,1.0,-0.333,0.999,0.571,0.847,0.513,0.663,0.029,-0.016,1.0,-0.333,0.999,0.794,0.844,0.336,0.743,,-0.015,0.985,-0.067,0.965,0.641,0.844,0.664,0.824,0.021,-0.085
Diplomatic_Out_Degree,0.031,0.095,-0.333,1.0,-0.29,0.033,-0.206,0.026,-0.048,0.008,-0.087,-0.333,1.0,-0.29,0.03,-0.654,-1.0,-0.731,,0.001,-0.318,0.253,-0.269,0.033,-0.434,-0.659,-0.524,0.015,0.113
Diplomatic_Degree,-0.006,-0.03,0.999,-0.29,1.0,0.585,0.85,0.523,0.672,0.024,-0.022,0.999,-0.29,1.0,0.809,0.827,0.294,0.721,,-0.018,0.985,-0.053,0.968,0.656,0.836,0.642,0.812,0.02,-0.079
Diplomatic_Betweenness,0.051,0.008,0.571,0.033,0.585,1.0,0.753,0.603,0.684,-0.032,0.032,0.571,0.033,0.585,0.44,0.329,-0.034,0.227,,0.048,0.573,0.083,0.584,0.929,0.542,0.242,0.425,0.028,0.014
Diplomatic_Closeness,-0.027,-0.002,0.847,-0.206,0.85,0.753,1.0,0.853,0.941,0.113,-0.056,0.847,-0.206,0.85,0.728,0.682,0.207,0.584,,0.053,0.842,-0.047,0.826,0.837,0.908,0.715,0.85,0.046,-0.082
Diplomatic_Eigenvector,-0.02,-0.004,0.513,0.026,0.523,0.603,0.853,1.0,0.971,0.196,-0.136,0.513,0.026,0.523,0.519,0.358,-0.026,0.283,,0.111,0.508,0.012,0.504,0.725,0.71,0.601,0.654,0.053,-0.046
Diplomatic_PageRank,-0.035,0.002,0.663,-0.048,0.672,0.684,0.941,0.971,1.0,0.192,-0.112,0.663,-0.048,0.672,0.63,0.495,0.048,0.406,,0.083,0.657,-0.006,0.65,0.787,0.811,0.668,0.763,0.062,-0.086
Diplomatic_Clustering,-0.201,0.09,0.029,0.008,0.024,-0.032,0.113,0.196,0.192,1.0,-0.094,0.029,0.008,0.024,-0.017,0.005,-0.008,-0.006,,0.067,0.041,-0.059,0.03,0.028,0.161,0.25,0.085,0.284,-0.16
Diplomatic_Community,-0.063,-0.048,-0.016,-0.087,-0.022,0.032,-0.056,-0.136,-0.112,-0.094,1.0,-0.016,-0.087,-0.022,-0.101,0.032,0.089,0.046,,0.136,-0.013,0.007,-0.011,-0.003,-0.017,-0.042,-0.03,0.114,0.054
Trade_In_Degree,-0.006,-0.037,1.0,-0.333,0.999,0.571,0.847,0.513,0.663,0.029,-0.016,1.0,-0.333,0.999,0.794,0.844,0.336,0.743,,-0.015,0.985,-0.067,0.965,0.641,0.844,0.664,0.824,0.021,-0.085
Trade_Out_Degree,0.031,0.095,-0.333,1.0,-0.29,0.033,-0.206,0.026,-0.048,0.008,-0.087,-0.333,1.0,-0.29,0.03,-0.654,-1.0,-0.731,,0.001,-0.318,0.253,-0.269,0.033,-0.434,-0.659,-0.524,0.015,0.113
Trade_Degree,-0.006,-0.03,0.999,-0.29,1.0,0.585,0.85,0.523,0.672,0.024,-0.022,0.999,-0.29,1.0,0.809,0.827,0.294,0.721,,-0.018,0.985,-0.053,0.968,0.656,0.836,0.642,0.812,0.02,-0.079
Trade_Betweenness,-0.047,0.062,0.794,0.03,0.809,0.44,0.728,0.519,0.63,-0.017,-0.101,0.794,0.03,0.809,1.0,0.679,-0.022,0.587,,0.007,0.779,0.014,0.779,0.596,0.717,0.489,0.726,-0.006,-0.023
Trade_Closeness,-0.075,-0.023,0.844,-0.654,0.827,0.329,0.682,0.358,0.495,0.005,0.032,0.844,-0.654,0.827,0.679,1.0,0.664,0.985,,-0.018,0.826,-0.151,0.793,0.424,0.863,0.844,0.914,-0.0,-0.117
Trade_Eigenvector,-0.037,-0.092,0.336,-1.0,0.294,-0.034,0.207,-0.026,0.048,-0.008,0.089,0.336,-1.0,0.294,-0.022,0.664,1.0,0.742,,-0.001,0.322,-0.255,0.273,-0.034,0.442,0.666,0.531,-0.015,-0.113
Trade_PageRank,-0.093,-0.02,0.743,-0.731,0.721,0.227,0.584,0.283,0.406,-0.006,0.046,0.743,-0.731,0.721,0.587,0.985,0.742,1.0,,-0.015,0.726,-0.171,0.691,0.32,0.809,0.849,0.883,-0.008,-0.12
Trade_Clustering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade_Community,-0.164,0.151,-0.015,0.001,-0.018,0.048,0.053,0.111,0.083,0.067,0.136,-0.015,0.001,-0.018,0.007,-0.018,-0.001,-0.015,,1.0,-0.015,0.009,-0.013,0.076,0.046,0.043,0.012,0.011,0.11
Combined_In_Degree,-0.017,-0.047,0.985,-0.318,0.985,0.573,0.842,0.508,0.657,0.041,-0.013,0.985,-0.318,0.985,0.779,0.826,0.322,0.726,,-0.015,1.0,-0.061,0.982,0.649,0.843,0.651,0.809,0.026,-0.061
Combined_Out_Degree,0.084,0.054,-0.067,0.253,-0.053,0.083,-0.047,0.012,-0.006,-0.059,0.007,-0.067,0.253,-0.053,0.014,-0.151,-0.255,-0.171,,0.009,-0.061,1.0,0.127,0.115,-0.134,-0.2,-0.125,0.11,0.168
Combined_Degree,-0.001,-0.037,0.965,-0.269,0.968,0.584,0.826,0.504,0.65,0.03,-0.011,0.965,-0.269,0.968,0.779,0.793,0.273,0.691,,-0.013,0.982,0.127,1.0,0.667,0.812,0.609,0.781,0.047,-0.027
Combined_Betweenness,0.041,0.027,0.641,0.033,0.656,0.929,0.837,0.725,0.787,0.028,-0.003,0.641,0.033,0.656,0.596,0.424,-0.034,0.32,,0.076,0.649,0.115,0.667,1.0,0.659,0.366,0.546,0.05,0.036
Combined_Closeness,-0.114,0.028,0.844,-0.434,0.836,0.542,0.908,0.71,0.811,0.161,-0.017,0.844,-0.434,0.836,0.717,0.863,0.442,0.809,,0.046,0.843,-0.134,0.812,0.659,1.0,0.9,0.949,0.064,-0.135
Combined_Eigenvector,-0.141,-0.012,0.664,-0.659,0.642,0.242,0.715,0.601,0.668,0.25,-0.042,0.664,-0.659,0.642,0.489,0.844,0.666,0.849,,0.043,0.651,-0.2,0.609,0.366,0.9,1.0,0.92,0.064,-0.187
Combined_PageRank,-0.086,-0.006,0.824,-0.524,0.812,0.425,0.85,0.654,0.763,0.085,-0.03,0.824,-0.524,0.812,0.726,0.914,0.531,0.883,,0.012,0.809,-0.125,0.781,0.546,0.949,0.92,1.0,0.025,-0.14
Combined_Clustering,0.021,-0.063,0.021,0.015,0.02,0.028,0.046,0.053,0.062,0.284,0.114,0.021,0.015,0.02,-0.006,-0.0,-0.015,-0.008,,0.011,0.026,0.11,0.047,0.05,0.064,0.064,0.025,1.0,-0.101
Combined_Community,0.081,-0.11,-0.085,0.113,-0.079,0.014,-0.082,-0.046,-0.086,-0.16,0.054,-0.085,0.113,-0.079,-0.023,-0.117,-0.113,-0.12,,0.11,-0.061,0.168,-0.027,0.036,-0.135,-0.187,-0.14,-0.101,1.0
